( 0.048455 5.680006 0.740035 0.694480 ) 
( 3.960800 5.679246 0.697319 0.648920 ) 
( 2.024755 5.727130 0.673926 0.636563 ) 
( 3.150465 5.625304 0.670700 0.588172 ) 
( 2.937464 5.673037 0.611329 0.560922 ) 
( 4.821251 5.538665 0.557672 0.505630 ) 
( 3.738251 5.505787 0.504924 0.463320 ) 
( 11.140598 5.422599 0.473737 0.430713 ) 
( 5.073202 5.271037 0.424743 0.383382 ) 
( 9.343908 5.119101 0.385916 0.352914 ) 
( 15.473746 4.994877 0.340566 0.300142 ) 
( 10.385332 4.923997 0.276608 0.271480 ) 
( 13.174938 4.834539 0.251417 0.220005 ) 
( 10.699398 4.607938 0.198743 0.184602 ) 
( 10.029404 4.081331 0.135360 0.146837 ) 
( 8.102400 3.629472 0.148220 0.191316 ) 
( 8.956626 3.158612 0.141441 0.282472 ) 
( 2.112554 2.836953 0.224154 0.208798 ) 
( 2.756950 2.445558 0.179068 0.171207 ) 
( 7.179232 2.104992 0.178841 0.223694 ) 
( 4.776304 1.840949 0.183874 0.453872 ) 
( 0.510221 1.550256 0.459854 0.779951 ) 
( 4.928679 1.845361 0.211641 0.544753 ) 
( 0.133817 1.617720 0.425128 0.775664 ) 
( 5.100863 1.255030 0.722971 0.820785 ) 
( 5.422745 1.613383 0.453344 0.756740 ) 
( 9.065842 1.243763 0.744916 0.808260 ) 
( 7.598527 1.521609 0.521607 0.770191 ) 
( 7.797227 1.750732 0.283832 0.662255 ) 
( 0.976285 1.464273 0.635773 0.788250 ) 
( 3.819772 1.806740 0.316371 0.779000 ) 
( 6.821022 1.545365 0.726824 0.790079 ) 
( 1.776231 1.828062 0.335195 0.829475 ) 
( 3.016285 1.480149 0.764465 0.793789 ) 
( 4.835614 1.752406 0.395558 0.806714 ) 
( 3.311201 1.468782 0.750824 0.785445 ) 
( 6.403158 1.743687 0.414326 0.790825 ) 
( 12.012426 1.522766 0.769525 0.729325 ) 
( 8.043909 1.756092 0.426638 0.797856 ) 
( 13.013880 1.452134 0.769507 0.760776 ) 
( 12.848704 1.741608 0.461013 0.796795 ) 
( 8.589006 1.508289 0.760012 0.756885 ) 
( 11.562963 1.863611 0.459675 0.795228 ) 
( 8.963932 1.575219 0.744455 0.755484 ) 
( 8.612202 1.300819 0.711617 0.838724 ) 
( 15.795831 1.535366 0.759290 0.755932 ) 
( 7.015298 1.745360 0.557888 0.786889 ) 
( 8.474135 1.533473 0.735464 0.741698 ) 
( 16.448544 1.830658 0.540601 0.792566 ) 
( 17.093172 1.625631 0.755215 0.720137 ) 
( 15.210861 1.329786 0.696286 0.792053 ) 
( 12.739058 1.539987 0.735586 0.755686 ) 
( 17.697449 1.773752 0.582524 0.791683 ) 
( 14.017584 1.561021 0.748993 0.739759 ) 
( 21.042057 1.769382 0.648334 0.770614 ) 
( 17.169926 1.585265 0.745910 0.726200 ) 
( 23.439350 1.366464 0.702119 0.824332 ) 
( 24.382132 1.623181 0.741528 0.727808 ) 
( 28.469822 1.395160 0.688329 0.810304 ) 
( 25.043913 1.510563 0.742232 0.747383 ) 
( 25.991358 1.754807 0.696310 0.780924 ) 
( 28.654793 1.582134 0.717535 0.740300 ) 
( 33.287952 1.338187 0.711528 0.849105 ) 
( 37.123585 1.385586 0.742721 0.739893 ) 
( 33.977463 1.634009 0.820329 0.767434 ) 
( 40.565872 1.536667 0.721225 0.722635 ) 
( 43.084190 1.639914 0.829438 0.779540 ) 
( 51.122826 1.495602 0.750903 0.747765 ) 
( 53.884438 1.480499 0.880893 0.788339 ) 
( 62.169254 1.673978 0.617152 0.927465 ) 
( 74.835052 1.594859 0.882339 0.772513 ) 
( 79.953529 1.575258 0.726994 0.734222 ) 
( 96.674789 1.628014 0.679283 0.818449 ) 
( 108.559845 1.672920 0.765401 0.537276 ) 
