( 37.067245 1.453117 0.103770 0.111668 0.107957 0.086423 0.042481 0.058789 0.041265 0.030478 0.010670 0.017737 0.010426 0.006378 0.018580 0.035598 0.031449 0.094037 ) 
( 35.363770 1.443480 0.097321 0.110364 0.103868 0.080096 0.057566 0.083215 0.077566 0.056143 0.009650 0.009660 0.022711 0.014130 0.008949 0.020035 0.030953 0.099811 ) 
( 35.154625 1.349635 0.098783 0.109860 0.097017 0.075894 0.077938 0.057575 0.068310 0.038486 0.029408 0.032731 0.016691 0.038520 0.020521 0.017097 0.041930 0.105884 ) 
( 39.990013 1.349127 0.112075 0.098205 0.104329 0.078139 0.052649 0.047018 0.059221 0.026132 0.024922 0.024945 0.006577 0.018236 0.024424 0.034600 0.039654 0.112613 ) 
( 40.382915 1.427345 0.106744 0.095129 0.091717 0.078972 0.047877 0.075273 0.068188 0.041386 0.036804 0.031366 0.013479 0.016707 0.012334 0.021087 0.029736 0.081260 ) 
( 39.950684 1.352170 0.101686 0.093279 0.117209 0.067057 0.079471 0.057775 0.046024 0.020473 0.010770 -0.001061 0.034666 0.010997 0.027843 0.022920 0.027649 0.105458 ) 
( 31.142008 1.340175 0.103331 0.101721 0.113455 0.075445 0.086088 0.040031 0.053852 0.048612 0.013756 0.022780 0.008939 0.019818 0.001184 0.028601 0.053973 0.111664 ) 
( 35.194286 1.418483 0.090641 0.097706 0.100571 0.082287 0.045831 0.061532 0.055278 0.024905 0.019911 0.038437 0.016858 0.021786 0.022797 0.027996 0.044027 0.098142 ) 
( 34.983482 1.371636 0.121517 0.113883 0.094686 0.078703 0.068154 0.064017 0.058926 0.030714 0.031052 0.023122 0.025005 0.026574 0.017430 0.014224 0.047700 0.087696 ) 
( 34.926941 1.344166 0.091325 0.098262 0.091096 0.092617 0.053789 0.058690 0.065390 0.031258 0.031007 0.013536 0.007307 0.011228 0.024904 0.021033 0.051763 0.102202 ) 
( 33.125877 1.430417 0.092604 0.089709 0.083765 0.086395 0.042993 0.051165 0.037220 0.032366 0.011152 0.010214 0.022013 0.027748 0.010634 0.020122 0.041915 0.099725 ) 
( 37.689178 1.368428 0.101162 0.099857 0.105616 0.077417 0.082631 0.058250 0.049067 0.047868 0.017374 0.005718 0.027109 0.013955 0.015667 0.035273 0.038223 0.104826 ) 
( 35.042782 1.447478 0.088770 0.096579 0.113511 0.071781 0.075648 0.053849 0.049917 0.025212 0.025525 0.027681 0.011752 0.021176 0.030632 0.023083 0.043077 0.130852 ) 
